City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
394,Nelson Bay,AU,-32.7167,152.15,86.29,67,83,4.0,broken clouds
395,Krasnoarmeysk,RU,51.0239,45.6969,22.3,94,100,7.0,light snow
396,Impfondo,CG,1.6381,18.0667,72.39,94,100,1.16,moderate rain
397,Colesberg,ZA,-30.72,25.0972,62.78,73,1,12.21,clear sky
398,Saint-Georges,GD,12.0564,-61.7485,78.48,78,40,5.75,scattered clouds
399,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,73.2,97,100,3.24,light rain
400,Berbera,SO,10.4396,45.0143,74.07,80,18,4.38,few clouds
401,Muriwai Beach,NZ,-36.8167,174.45,80.42,51,48,6.15,scattered clouds
402,Wladyslawowo,PL,54.7909,18.4009,24.94,70,26,20.02,scattered clouds
403,Umm Kaddadah,SD,13.6017,26.6876,59.77,26,23,13.89,few clouds
404,Apatity,RU,67.5641,33.4031,3.11,96,100,4.0,overcast clouds
405,Balkanabat,TM,39.5108,54.3671,34.43,73,30,8.16,scattered clouds
406,Kasongo,CD,-4.45,26.6667,65.66,98,100,1.05,overcast clouds
407,Bairiki,KI,1.3292,172.9752,87.8,70,20,8.05,few clouds
408,Kayerkan,RU,69.3497,87.7602,-8.82,92,86,6.91,overcast clouds
409,Fairbanks,US,64.8378,-147.7164,14.22,85,90,0.0,snow
410,Huaihua,CN,27.5494,109.9592,26.76,95,100,7.43,snow
411,Roebourne,AU,-20.7833,117.1333,101.46,26,20,13.42,few clouds
412,Tibati,CM,6.4667,12.6333,70.09,27,75,2.82,broken clouds
413,Anloga,GH,5.7947,0.8973,81.32,79,10,9.55,clear sky
414,Hervey Bay,AU,-25.2986,152.8535,84.31,69,100,8.99,overcast clouds
415,Kamenka,RU,51.3223,42.7678,20.75,96,100,3.2,overcast clouds
416,Salento,CO,4.6375,-75.5703,65.53,96,97,1.39,overcast clouds
417,Kruisfontein,ZA,-34.0033,24.7314,63.88,89,86,2.89,overcast clouds
418,Aklavik,CA,68.2191,-135.0107,-13.97,93,10,10.96,clear sky
419,Guiratinga,BR,-16.3494,-53.7583,74.97,76,99,1.34,overcast clouds
420,Kihei,US,20.785,-156.4656,78.82,67,40,23.02,scattered clouds
421,Along,IN,28.1667,94.7667,52.47,56,8,1.12,clear sky
422,Kieta,PG,-6.2167,155.6333,81.09,79,100,2.06,overcast clouds
423,Ngunguru,NZ,-35.6167,174.5,80.17,78,75,9.22,broken clouds
424,Breytovo,RU,58.2993,37.8617,7.52,94,100,11.79,light snow
425,Vredendal,ZA,-31.6683,18.5012,63.82,85,36,4.65,scattered clouds
426,Gunnedah,AU,-30.9833,150.25,85.62,31,76,8.32,broken clouds
427,Miri,MY,4.4148,114.0089,84.34,79,40,3.44,scattered clouds
428,Acapulco,MX,16.8634,-99.8901,80.42,69,40,2.3,scattered clouds
429,Klaksvik,FO,62.2266,-6.589,36.52,64,100,15.12,overcast clouds
430,Georgiyevka,KZ,43.0369,74.7114,30.24,100,90,2.24,fog
431,Ouadda,CF,8.0777,22.4007,74.44,23,100,8.5,overcast clouds
432,Shaowu,CN,27.3409,117.4831,40.51,75,97,3.6,overcast clouds
